what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508094701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508095268
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377508095595
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377508106165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508108884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508109897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508111236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508126179
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377508126927
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377508127196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508128852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508132227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377508132262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377508140754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377508143618
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377508145367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508145413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508146161
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377508146505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377508150498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377508157202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377508184752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508190483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508211985
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377508219998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508220041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508220642
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377508220960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508221945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508225056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377508225090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508397139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508425749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508505610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508684922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377508688368
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377508759573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377508759883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508761909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377508766747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377508766796
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1377508768228
