what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377761841212
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377761841488
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377761843785
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377761871871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761871894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761872664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761872729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761873468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761875415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761875497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761878351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761878448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377761882005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761886896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761949891
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377761958547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761958565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761959016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761959147
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377761959370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761963013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377761964214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761965094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761966279
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377761966308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761972192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761973811
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377761974970
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1377761977996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761978021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761978878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377761978973
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1377761979259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762004893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762006642
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762007666
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762010079
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377762010828
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377762011091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762012478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762013339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762014261
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762014298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762025591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762037738
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762037909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377762050518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762053412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762060006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762062269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762067173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377762115655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762118601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377762173071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762174903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377762202887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762204261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377762218960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377762220245
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377762223849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762223869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762224507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762224579
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377762224891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762226059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762227225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762228081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762229020
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762229050
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762238838
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762242623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762244533
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377762260032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762260056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762260466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762260546
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377762260830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762262386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762264475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762265214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762266732
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762266767
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762271715
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377762278704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762278723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762279137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762279241
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377762279465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762280322
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762280994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762281662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762282756
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377762282797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762298433
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377762309856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762309883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762310379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762310455
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377762310725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762311562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377762312264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762312937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377762314020
