what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377063788545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377063918732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377064478115
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377065101515
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377065101586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377065106899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377067515465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377067516589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377067520099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377067747937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377067748967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377073320233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377073320405
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074790380
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074790411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074791332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074797946
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377074811534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074812844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074816448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074817586
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377074821596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377074821658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377074822204
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377074822594
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1377074825652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074827695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377074827758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377075116358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377075124574
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377075135471
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377075135495
