what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1377517689623
error,log,,,"Core exception while retrieving the content description",1377517689624
error,log,,,"Core exception while retrieving the content description",1377517689625
error,log,,,"Core exception while retrieving the content description",1377517689626
error,log,,,"Core exception while retrieving the content description",1377517689627
error,log,,,"Core exception while retrieving the content description",1377517689628
error,log,,,"Core exception while retrieving the content description",1377517689629
error,log,,,"Core exception while retrieving the content description",1377517689631
error,log,,,"Core exception while retrieving the content description",1377517689633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517691715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517696527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1377517696538
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517697617
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517697696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1377517702693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517710017
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517710017
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377517711541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517713871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517714819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1377517714827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517716686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517718813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517719574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517721826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377517721834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517723798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517731432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517731815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517732858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377517732867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377517737317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517740540
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377517742269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517742316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517743131
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377517743513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517747388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517753517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517754309
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377517755263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517762751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517763605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1377517763626
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1377517766338
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1377517766348
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1377517766423
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1377517766424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377517769173
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377517771105
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377517771406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517774551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517776643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517777309
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517780266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517780313
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517780323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517787078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517796740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517796764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517798581
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517798626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517811808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517822425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517834123
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517853121
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517854711
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517874407
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517874407
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517879421
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517886089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517888237
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1377517892153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517892193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517893074
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1377517893426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517894962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517896112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517896133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517897651
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517897681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517901972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517903705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517904372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377517956122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517958493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517962525
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1377517982182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377517984779
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377518037051
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377518040375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377518041172
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377518059568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1377518118243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377518120117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377518141788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377518160047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377518205435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377518222944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1377518234111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377518247539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377518281185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377518281292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1377518289664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377518291638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377518302973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377518303758
